prices,address,no_beds,baths,sqft
1325000, 116 N Sycamore Ave Los Angeles CA 90036 ,2,2,1616
998900, 22102 Blackhawk St Chatsworth CA 91311 ,4,3,2236
1395000, 5055 Meridian St Los Angeles CA 90042 ,4,3,1968
685000, 7250 Franklin Ave UNIT 1103 Los Angeles CA 90046 ,1,2,998
770000, 10007 S Harvard Blvd Los Angeles CA 90047 ,3,2,1385
9995000, 2670 Bowmont Dr Beverly Hills CA 90210 ,7,10,9900
11589000, 12009 Longacre Ave Granada Hills CA 91344 ,5,6,1049
25000000, 499 Halvern Dr Los Angeles CA 90049 ,8,15,12500
779000, 4711 Colfax Ave UNIT 10 Los Angeles CA 91602 ,2,3,1540
679900, 9141 Dalton Ave Los Angeles CA 90047 ,3,2,1546
7175000, 2720 Ellison Dr Beverly Hills CA 90210 ,4,6,5564
2995000, 14736 Greenleaf St Sherman Oaks CA 91403 ,5,6,4939
398800, 7800 Topanga Canyon Blvd APT 311 Los Angeles CA 91304 ,3,2,1246
330000, 4125 S Figueroa St APT 416 Los Angeles CA 90037 ,1,1,750
2900000, 4545 Lemp Ave North Hollywood CA 91602 ,4,5,3432
3000000, 7275 Mulholland Dr Los Angeles CA 90068 ,2,3,1953
569000, 6931 Langdon Ave Van Nuys CA 91406 ,3,2,1427
459900, 950 E 114th St Los Angeles CA 90059 ,3,1,1047
1299999, 1246 Hauser Blvd Los Angeles CA 90019 ,2,2,1374
2899000, 5724 Manton Ave Woodland Hills CA 91367 ,5,6,4905
3095000, 7470 Woodrow Wilson Dr Los Angeles CA 90046 ,4,5,3434
749900, 8100 Chicopee Ave Northridge CA 91325 ,3,2,1325
8788000, 2229 Summitridge Dr Beverly Hills CA 90210 ,7,10,9757
11495000, 1201 Linda Flora Dr Los Angeles CA 90049 ,6,8,9297
325000, 7320 Lennox Ave UNIT F3 Los Angeles CA 91405 ,2,2,971
888888, 4415 W 28th St Los Angeles CA 90016 ,2,2,1042
1799000, 530 Santa Clara Ave Venice CA 90291 ,3,2,1472
769000, 8512 Tuscany Ave APT 209 Los Angeles CA 90293 ,2,2,1140
649000, 3341 Edloft Ave Los Angeles CA 90032 ,3,2,1387
299000, 6815 Remmet Ave UNIT 109 Los Angeles CA 91303 ,1,1,619
639000, 11460 Andasol Ave Granada Hills CA 91344 ,3,2,1524
550000, 1360 N Soto St Los Angeles CA 90033 ,3,1,727
1895000, 23352 Ostronic Dr Woodland Hills CA 91367 ,5,3,3010
38500000, 670 Perugia Way Los Angeles CA 90077 ,7,9,1428
12495000, 1206 Amalfi Dr Pacific Palisades CA 90272 ,5,10,9767
545000, 1147 Rosalind Ave Los Angeles CA 90023 ,2,1,992
599000, 3740 Santa Rosalia Dr APT 403 Los Angeles CA 90008 ,2,2,1020
540000, 13220 Shaw Ln Sylmar CA 91342 ,5,4,1920
540000, 1638 S Gramercy Pl Los Angeles CA 90019 ,2,2,1240
13995000, 2140 Stratford Cir Los Angeles CA 90077 ,8,12,16634
6299000, 1139 Roberto Ln Los Angeles CA 90077 ,6,7,5300
624900, 5455 Sylmar Ave APT 502 Sherman Oaks CA 91401 ,2,3,1228
295000, 2222 Avenue Of The Stars #109 Los Angeles CA 90067 ,1,1,265
399000, 9408 Grape St Los Angeles CA 90002 ,4,2,1176
439000, 4439 Lockwood Ave #1/2 Los Angeles CA 90029 ,2,1,622
2795000, 4542 Morella Ave Valley Village CA 91607 ,5,4,3410
2695000, 2921 Ocean Front Walk Venice CA 90291 ,3,4,2716
690000, 11110 Archwood Pl North Hollywood CA 91606 ,4,2,1386
2600000, 14806 Hesby St Sherman Oaks CA 91403 ,5,6,4224
10995000, 3951 Royal Oak Pl Encino CA 91436 ,6,10,10902
549000, 7765 W 91st St UNIT F2101 Los Angeles CA 90293 ,2,2,1050
6700000, 9901 Kip Dr Beverly Hills CA 90210 ,5,7,7466
699999, 7838 Goodland Ave North Hollywood CA 91605 ,3,2,1688
2125000, 1274 Calle De Sevilla Pacific Palisades CA 90272 ,3,3,3648
17750000, 1518 Bel Air Rd Los Angeles CA 90077 ,6,10,9310
6250000, 1995 Sunset Plaza Dr Los Angeles CA 90069 ,3,5,4291
995000, 2623 Roseview Ave Los Angeles CA 90065 ,5,3,2316
3125000, 6402 Lindenhurst Ave Los Angeles CA 90048 ,4,5,3186
21000000, 1401 San Remo Dr Pacific Palisades CA 90272 ,7,10,13508
14800000, 9240 Robin Dr Los Angeles CA 90069 ,4,11,9000
619900, 7943 White Oak Ave Reseda CA 91335 ,4,2,1200
370000, 312 W 5th St APT 409 Los Angeles CA 90013 ,1,1,650
995000, 1045 Farnam St Los Angeles CA 90042 ,3,2,1040
25000000, 15050 Altata Dr Pacific Palisades CA 90272 ,7,13,13600
